"","date","count"
"1",2014-03-01,10
"2",2014-03-02,2
"3",2014-03-03,2
"4",2014-03-04,0
"5",2014-03-05,1
"6",2014-03-06,1
"7",2014-03-07,4
"8",2014-03-08,1
"9",2014-03-09,1
"10",2014-03-10,3
"11",2014-03-11,3
"12",2014-03-12,10
"13",2014-03-13,4
"14",2014-03-14,4
"15",2014-03-15,4
"16",2014-03-16,3
"17",2014-03-17,1
"18",2014-03-18,1
"19",2014-03-19,3
"20",2014-03-20,5
"21",2014-03-21,4
"22",2014-03-22,6
"23",2014-03-23,4
"24",2014-03-24,6
"25",2014-03-25,6
"26",2014-03-26,3
"27",2014-03-27,3
"28",2014-03-28,2
"29",2014-03-29,5
"30",2014-03-30,8
"31",2014-03-31,0
"32",2014-04-01,3
"33",2014-04-02,1
"34",2014-04-03,3
"35",2014-04-04,0
"36",2014-04-05,1
"37",2014-04-06,6
"38",2014-04-07,4
"39",2014-04-08,9
"40",2014-04-09,7
"41",2014-04-10,5
"42",2014-04-11,2
"43",2014-04-12,2
"44",2014-04-13,2
"45",2014-04-14,3
"46",2014-04-15,2
"47",2014-04-16,0
"48",2014-04-17,2
"49",2014-04-18,4
"50",2014-04-19,1
"51",2014-04-20,0
"52",2014-04-21,1
"53",2014-04-22,2
"54",2014-04-23,2
"55",2014-04-24,1
"56",2014-04-25,0
"57",2014-04-26,3
"58",2014-04-27,1
"59",2014-04-28,0
"60",2014-04-29,0
"61",2014-04-30,0
"62",2014-05-01,1
"63",2014-05-02,4
"64",2014-05-03,3
"65",2014-05-04,1
"66",2014-05-05,4
"67",2014-05-06,2
"68",2014-05-07,2
"69",2014-05-08,4
"70",2014-05-09,1
"71",2014-05-10,2
"72",2014-05-11,2
"73",2014-05-12,1
"74",2014-05-13,0
"75",2014-05-14,3
"76",2014-05-15,6
"77",2014-05-16,3
"78",2014-05-17,1
"79",2014-05-18,6
"80",2014-05-19,6
"81",2014-05-20,5
"82",2014-05-21,4
"83",2014-05-22,4
"84",2014-05-23,8
"85",2014-05-24,1
"86",2014-05-25,11
"87",2014-05-26,5
"88",2014-05-27,7
"89",2014-05-28,7
"90",2014-05-29,2
"91",2014-05-30,1
"92",2014-05-31,2
"93",2014-06-01,3
"94",2014-06-02,5
"95",2014-06-03,8
"96",2014-06-04,4
"97",2014-06-05,7
"98",2014-06-06,2
"99",2014-06-07,2
"100",2014-06-08,3
"101",2014-06-09,10
"102",2014-06-10,3
"103",2014-06-11,3
"104",2014-06-12,0
"105",2014-06-13,1
"106",2014-06-14,4
"107",2014-06-15,2
"108",2014-06-16,7
"109",2014-06-17,4
"110",2014-06-18,6
"111",2014-06-19,11
"112",2014-06-20,4
"113",2014-06-21,4
"114",2014-06-22,1
"115",2014-06-23,2
"116",2014-06-24,2
"117",2014-06-25,2
"118",2014-06-26,1
"119",2014-06-27,1
"120",2014-06-28,0
"121",2014-06-29,0
"122",2014-06-30,0
"123",2014-07-01,2
"124",2014-07-02,4
"125",2014-07-03,2
"126",2014-07-04,2
"127",2014-07-05,2
"128",2014-07-06,2
"129",2014-07-07,3
"130",2014-07-08,1
"131",2014-07-09,2
"132",2014-07-10,2
"133",2014-07-11,0
"134",2014-07-12,2
"135",2014-07-13,1
"136",2014-07-14,0
"137",2014-07-15,3
"138",2014-07-16,1
"139",2014-07-17,5
"140",2014-07-18,10
"141",2014-07-19,2
"142",2014-07-20,2
"143",2014-07-21,5
"144",2014-07-22,2
"145",2014-07-23,7
"146",2014-07-24,2
"147",2014-07-25,2
"148",2014-07-26,0
"149",2014-07-27,2
"150",2014-07-28,2
"151",2014-07-29,1
"152",2014-07-30,3
"153",2014-07-31,2
"154",2014-08-01,8
"155",2014-08-02,6
"156",2014-08-03,5
"157",2014-08-04,1
"158",2014-08-05,6
"159",2014-08-06,2
"160",2014-08-07,6
"161",2014-08-08,3
"162",2014-08-09,2
"163",2014-08-10,10
"164",2014-08-11,6
"165",2014-08-12,18
"166",2014-08-13,11
"167",2014-08-14,10
"168",2014-08-15,15
"169",2014-08-16,9
"170",2014-08-17,7
"171",2014-08-18,10
"172",2014-08-19,13
"173",2014-08-20,32
"174",2014-08-21,19
"175",2014-08-22,8
"176",2014-08-23,12
"177",2014-08-24,8
"178",2014-08-25,23
"179",2014-08-26,19
"180",2014-08-27,12
"181",2014-08-28,17
"182",2014-08-29,10
"183",2014-08-30,7
"184",2014-08-31,13
"185",2014-09-01,28
"186",2014-09-02,19
"187",2014-09-03,15
"188",2014-09-04,12
"189",2014-09-05,11
"190",2014-09-06,13
"191",2014-09-07,11
"192",2014-09-08,12
"193",2014-09-09,19
"194",2014-09-10,16
"195",2014-09-11,8
"196",2014-09-12,15
"197",2014-09-13,10
"198",2014-09-14,12
"199",2014-09-15,10
"200",2014-09-16,16
"201",2014-09-17,12
"202",2014-09-18,14
"203",2014-09-19,13
"204",2014-09-20,21
"205",2014-09-21,11
"206",2014-09-22,15
"207",2014-09-23,15
"208",2014-09-24,13
"209",2014-09-25,15
"210",2014-09-26,11
"211",2014-09-27,13
"212",2014-09-28,16
"213",2014-09-29,17
"214",2014-09-30,20
"215",2014-10-01,31
"216",2014-10-02,16
"217",2014-10-03,21
"218",2014-10-04,23
"219",2014-10-05,14
"220",2014-10-06,19
"221",2014-10-07,12
"222",2014-10-08,19
"223",2014-10-09,15
"224",2014-10-10,21
"225",2014-10-11,17
"226",2014-10-12,19
"227",2014-10-13,17
"228",2014-10-14,13
"229",2014-10-15,14
"230",2014-10-16,9
"231",2014-10-17,15
"232",2014-10-18,13
"233",2014-10-19,12
"234",2014-10-20,10
"235",2014-10-21,11
"236",2014-10-22,16
"237",2014-10-23,15
"238",2014-10-24,8
"239",2014-10-25,8
"240",2014-10-26,18
"241",2014-10-27,16
"242",2014-10-28,14
"243",2014-10-29,24
"244",2014-10-30,17
"245",2014-10-31,27
"246",2014-11-01,29
"247",2014-11-02,42
"248",2014-11-03,26
"249",2014-11-04,17
"250",2014-11-05,16
"251",2014-11-06,7
"252",2014-11-07,7
"253",2014-11-08,14
"254",2014-11-09,15
"255",2014-11-10,20
"256",2014-11-11,18
"257",2014-11-12,15
"258",2014-11-13,34
"259",2014-11-14,14
"260",2014-11-15,18
"261",2014-11-16,21
"262",2014-11-17,25
"263",2014-11-18,27
"264",2014-11-19,11
"265",2014-11-20,21
"266",2014-11-21,10
"267",2014-11-22,11
"268",2014-11-23,13
"269",2014-11-24,8
"270",2014-11-25,17
"271",2014-11-26,7
"272",2014-11-27,14
"273",2014-11-28,23
"274",2014-11-29,8
"275",2014-11-30,17
"276",2014-12-01,26
"277",2014-12-02,24
"278",2014-12-03,26
"279",2014-12-04,11
"280",2014-12-05,13
"281",2014-12-06,14
"282",2014-12-07,20
"283",2014-12-08,9
"284",2014-12-09,13
"285",2014-12-10,21
"286",2014-12-11,13
"287",2014-12-12,32
"288",2014-12-13,30
"289",2014-12-14,24
"290",2014-12-15,22
"291",2014-12-16,17
"292",2014-12-17,17
"293",2014-12-18,31
"294",2014-12-19,27
"295",2014-12-20,22
"296",2014-12-21,14
"297",2014-12-22,20
"298",2014-12-23,18
"299",2014-12-24,8
"300",2014-12-25,5
"301",2014-12-26,15
"302",2014-12-27,14
"303",2014-12-28,7
"304",2014-12-29,6
"305",2014-12-30,10
"306",2014-12-31,3
"307",2015-01-01,9
"308",2015-01-02,6
"309",2015-01-03,8
"310",2015-01-04,10
"311",2015-01-05,10
"312",2015-01-06,3
"313",2015-01-07,9
"314",2015-01-08,5
"315",2015-01-09,2
"316",2015-01-10,3
"317",2015-01-11,2
"318",2015-01-12,5
"319",2015-01-13,4
"320",2015-01-14,3
"321",2015-01-15,9
"322",2015-01-16,6
"323",2015-01-17,9
"324",2015-01-18,9
"325",2015-01-19,5
"326",2015-01-20,8
"327",2015-01-21,2
"328",2015-01-22,6
"329",2015-01-23,7
"330",2015-01-24,4
"331",2015-01-25,8
"332",2015-01-26,5
"333",2015-01-27,4
"334",2015-01-28,15
"335",2015-01-29,11
"336",2015-01-30,13
"337",2015-01-31,14
"338",2015-02-01,10
"339",2015-02-02,15
"340",2015-02-03,8
"341",2015-02-04,12
"342",2015-02-05,8
"343",2015-02-06,9
"344",2015-02-07,4
"345",2015-02-08,5
"346",2015-02-09,5
"347",2015-02-10,5
"348",2015-02-11,4
"349",2015-02-12,6
"350",2015-02-13,10
"351",2015-02-14,4
"352",2015-02-15,5
"353",2015-02-16,7
"354",2015-02-17,2
"355",2015-02-18,6
"356",2015-02-19,7
"357",2015-02-20,5
"358",2015-02-21,7
"359",2015-02-22,8
"360",2015-02-23,15
"361",2015-02-24,4
"362",2015-02-25,9
"363",2015-02-26,5
"364",2015-02-27,9
"365",2015-02-28,12
"366",2015-03-01,10
"367",2015-03-02,8
"368",2015-03-03,5
"369",2015-03-04,7
"370",2015-03-05,12
"371",2015-03-06,6
"372",2015-03-07,20
"373",2015-03-08,10
"374",2015-03-09,17
"375",2015-03-10,11
"376",2015-03-11,8
"377",2015-03-12,11
"378",2015-03-13,8
"379",2015-03-14,3
"380",2015-03-15,12
"381",2015-03-16,3
"382",2015-03-17,6
"383",2015-03-18,9
"384",2015-03-19,10
"385",2015-03-20,4
"386",2015-03-21,7
"387",2015-03-22,13
"388",2015-03-23,13
"389",2015-03-24,4
"390",2015-03-25,6
"391",2015-03-26,5
"392",2015-03-27,5
"393",2015-03-28,1
"394",2015-03-29,3
"395",2015-03-30,5
"396",2015-03-31,2
"397",2015-04-01,4
"398",2015-04-02,1
"399",2015-04-03,8
"400",2015-04-04,4
"401",2015-04-05,1
"402",2015-04-06,2
"403",2015-04-07,5
"404",2015-04-08,2
"405",2015-04-09,5
"406",2015-04-10,10
"407",2015-04-11,2
"408",2015-04-12,1
"409",2015-04-13,1
"410",2015-04-14,0
"411",2015-04-15,6
"412",2015-04-16,3
"413",2015-04-17,3
"414",2015-04-18,4
"415",2015-04-19,4
"416",2015-04-20,1
"417",2015-04-21,5
"418",2015-04-22,2
"419",2015-04-23,1
"420",2015-04-24,2
"421",2015-04-25,2
"422",2015-04-26,0
"423",2015-04-27,2
"424",2015-04-28,0
"425",2015-04-29,0
"426",2015-04-30,5
"427",2015-05-01,0
"428",2015-05-02,0
"429",2015-05-03,0
"430",2015-05-04,5
"431",2015-05-05,1
"432",2015-05-06,3
"433",2015-05-07,4
"434",2015-05-08,3
"435",2015-05-09,6
"436",2015-05-10,4
"437",2015-05-11,3
"438",2015-05-12,1
"439",2015-05-13,0
"440",2015-05-14,3
"441",2015-05-15,2
"442",2015-05-16,2
"443",2015-05-17,0
"444",2015-05-18,2
"445",2015-05-19,2
"446",2015-05-20,0
"447",2015-05-21,1
"448",2015-05-22,2
"449",2015-05-23,3
"450",2015-05-24,2
"451",2015-05-25,1
"452",2015-05-26,1
"453",2015-05-27,2
"454",2015-05-28,1
"455",2015-05-29,0
"456",2015-05-30,0
"457",2015-05-31,2
"458",2015-06-01,3
"459",2015-06-02,1
"460",2015-06-03,5
"461",2015-06-04,3
"462",2015-06-05,5
"463",2015-06-06,1
"464",2015-06-07,0
"465",2015-06-08,0
"466",2015-06-09,1
"467",2015-06-10,5
"468",2015-06-11,1
"469",2015-06-12,1
"470",2015-06-13,2
"471",2015-06-14,1
"472",2015-06-15,2
"473",2015-06-16,8
"474",2015-06-17,2
"475",2015-06-18,2
"476",2015-06-19,3
"477",2015-06-20,0
"478",2015-06-21,2
"479",2015-06-22,2
"480",2015-06-23,0
"481",2015-06-24,2
"482",2015-06-25,1
"483",2015-06-26,5
"484",2015-06-27,3
"485",2015-06-28,2
"486",2015-06-29,4
"487",2015-06-30,1
"488",2015-07-01,4
